device,unit_id_rule,pdu_address,register_number,field,access,encoding_scale,source_status
MPR-53CS,2*n-1,0/2/4,1/3/5,L1/L2/L3 phase voltage,R,UInt32 0.1 V,manufacturer
MPR-53CS,2*n-1,6/8/10,7/9/11,L1/L2/L3 current,R,UInt32 0.001*CT A,manufacturer
MPR-53CS,2*n-1,12,13,neutral current,R,UInt32 0.001*CT A,manufacturer
MPR-53CS,2*n-1,14/16/18,15/17/19,L1-L2/L2-L3/L3-L1 voltage,R,UInt32 0.1 V,manufacturer
MPR-53CS,2*n-1,44,45,total import active power,R,UInt32 0.1*CT*VT W,manufacturer
MPR-53CS,2*n-1,52,53,total apparent power,R,UInt32 0.1*CT*VT VA,manufacturer
MPR-53CS,2*n-1,58,59,frequency,R,UInt32 0.01 Hz,manufacturer
TVOC-2,2*n,149,150,TVOC trip event counter,R,UInt16,manufacturer
TVOC-2,2*n,206,207,diagnostics trip status,R,bitfield,manufacturer
TVOC-2,2*n,210/211,211/212,active trip detector low/high,R,bitfield,manufacturer
TVOC-2,2*n,212,213,active trip relay K4/K5/K6,R,bitfield,manufacturer
TVOC-2,2*n,222-225,223-226,sensor status and ambient light warning,R,bitfield 1=OK,manufacturer
TVOC-2,2*n,1300,1301,system state,R,bit0 active trip; bit1 error; bit2 startup; bit3 diagnostics,manufacturer
GridUp,2*n-1,10000,10001,ambient temperature,R,(C+50)*10,custom
GridUp,2*n-1,10001,10002,relative humidity,R,pct*10,custom
GridUp,2*n-1,10002-10004,10003-10005,L1/L2/L3 busbar temperature,R,(C+50)*10,custom
GridUp,2*n-1,10005,10006,dew point,R,(C+50)*10,custom
GridUp,2*n-1,10006,10007,condensation margin,R,(K+50)*10,custom
GridUp,2*n-1,10007,10008,combined risk score,R,0-100*10,custom
GridUp,2*n-1,10008,10009,severity,R,0 normal;1 watch;2 warning;3 critical,custom
GridUp,2*n-1,10009,10010,HFCT voltage indicator,R,mV*10; uncalibrated,custom
GridUp,2*n-1,10010,10011,maximum feeder loading ratio,R,ratio*1000,custom
GridUp,2*n-1,10011,10012,arc detected without breaker trip,R,0/1,custom
GridUp,2*n-1,10012,10013,arc detected with breaker trip,R,0/1,custom
GridUp,2*n-1,10013,10014,auxiliary supply voltage,R,V*10,custom
GridUp,2*n-1,10014,10015,thermal residual,R,(K+50)*10,custom
GridUp,2*n-1,10015,10016,residual z-score,R,z*100,custom
GridUp,2*n-1,10016,10017,residual anomaly score,R,0-100*10,custom
GridUp,2*n-1,10017,10018,competition profile row index,R,0-151,custom
GridUp,2*n-1,10018,10019,source secondary current,R,mA*10,custom
GridUp,2*n-1,10019,10020,profile elapsed time,R,minutes,custom
