source_index,elapsed_minutes,source_clock,secondary_current_ma,multiplier,primary_current_a
0,0,00:00,53,6000,318
1,15,00:15,86,6000,516
2,30,00:30,55,6000,330
3,45,00:45,21,6000,126
4,60,01:00,26,6000,156
5,75,01:15,16,6000,96
6,90,01:30,16,6000,96
7,105,01:45,82,6000,492
8,120,02:00,86,6000,516
9,135,02:15,43,6000,258
10,150,02:30,67,6000,402
11,165,02:45,81,6000,486
12,180,03:00,21,6000,126
13,195,03:15,22,6000,132
14,210,03:30,56,6000,336
15,225,03:45,48,6000,288
16,240,04:00,74,6000,444
17,255,04:15,79,6000,474
18,270,04:30,38,6000,228
19,285,04:45,48,6000,288
20,300,05:00,24,6000,144
21,315,05:15,48,6000,288
22,330,05:30,84,6000,504
23,345,05:45,24,6000,144
24,360,06:00,40,6000,240
25,375,06:15,42,6000,252
26,390,06:30,44,6000,264
27,405,06:45,23,6000,138
28,420,07:00,16,6000,96
29,435,07:15,89,6000,534
30,450,07:30,77,6000,462
31,465,07:45,52,6000,312
32,480,08:00,69,6000,414
33,495,08:15,51,6000,306
34,510,08:30,35,6000,210
35,525,08:45,44,6000,264
36,540,09:00,36,6000,216
37,555,09:15,57,6000,342
38,570,09:30,49,6000,294
39,585,09:45,20,6000,120
40,600,10:00,49,6000,294
41,615,10:15,32,6000,192
42,630,10:30,60,6000,360
43,645,10:45,90,6000,540
44,660,11:00,35,6000,210
45,675,11:15,31,6000,186
46,690,11:30,60,6000,360
47,705,11:45,88,6000,528
48,720,12:00,38,6000,228
49,735,12:15,79,6000,474
50,750,12:30,86,6000,516
51,765,12:45,15,6000,90
52,780,13:00,15,6000,90
53,795,13:15,80,6000,480
54,810,13:30,78,6000,468
55,825,13:45,75,6000,450
56,840,14:00,55,6000,330
57,855,14:15,28,6000,168
58,870,14:30,49,6000,294
59,885,14:45,22,6000,132
60,900,15:00,68,6000,408
61,915,15:15,85,6000,510
62,930,15:30,49,6000,294
63,945,15:45,60,6000,360
64,960,16:00,40,6000,240
65,975,16:15,40,6000,240
66,990,16:30,20,6000,120
67,1005,16:45,18,6000,108
68,1020,17:00,68,6000,408
69,1035,17:15,50,6000,300
70,1050,17:30,69,6000,414
71,1065,17:45,78,6000,468
72,1080,18:00,37,6000,222
73,1095,18:15,76,6000,456
74,1110,18:30,85,6000,510
75,1125,18:45,61,6000,366
76,1140,19:00,43,6000,258
77,1155,19:15,42,6000,252
78,1170,19:30,36,6000,216
79,1185,19:45,48,6000,288
80,1200,20:00,87,6000,522
81,1215,20:15,83,6000,498
82,1230,20:30,59,6000,354
83,1245,20:45,83,6000,498
84,1260,21:00,15,6000,90
85,1275,21:15,74,6000,444
86,1290,21:30,23,6000,138
87,1305,21:45,34,6000,204
88,1320,22:00,89,6000,534
89,1335,22:15,81,6000,486
90,1350,22:30,42,6000,252
91,1365,22:45,76,6000,456
92,1380,23:00,28,6000,168
93,1395,23:15,45,6000,270
94,1410,23:30,46,6000,276
95,1425,23:45,86,6000,516
96,1440,00:00,54,6000,324
97,1455,00:15,29,6000,174
98,1470,00:30,40,6000,240
99,1485,00:45,15,6000,90
100,1500,01:00,32,6000,192
101,1515,01:15,52,6000,312
102,1530,01:30,27,6000,162
103,1545,01:45,84,6000,504
104,1560,02:00,71,6000,426
105,1575,02:15,41,6000,246
106,1590,02:30,20,6000,120
107,1605,02:45,81,6000,486
108,1620,03:00,32,6000,192
109,1635,03:15,77,6000,462
110,1650,03:30,39,6000,234
111,1665,03:45,38,6000,228
112,1680,04:00,45,6000,270
113,1695,04:15,56,6000,336
114,1710,04:30,59,6000,354
115,1725,04:45,48,6000,288
116,1740,05:00,84,6000,504
117,1755,05:15,31,6000,186
118,1770,05:30,22,6000,132
119,1785,05:45,86,6000,516
120,1800,06:00,26,6000,156
121,1815,06:15,47,6000,282
122,1830,06:30,72,6000,432
123,1845,06:45,60,6000,360
124,1860,07:00,67,6000,402
125,1875,07:15,25,6000,150
126,1890,07:30,84,6000,504
127,1905,07:45,23,6000,138
128,1920,08:00,52,6000,312
129,1935,08:15,89,6000,534
130,1950,08:30,40,6000,240
131,1965,08:45,57,6000,342
132,1980,09:00,31,6000,186
133,1995,09:15,60,6000,360
134,2010,09:30,74,6000,444
135,2025,09:45,85,6000,510
136,2040,10:00,84,6000,504
137,2055,10:15,64,6000,384
138,2070,10:30,70,6000,420
139,2085,10:45,43,6000,258
140,2100,11:00,51,6000,306
141,2115,11:15,20,6000,120
142,2130,11:30,63,6000,378
143,2145,11:45,61,6000,366
144,2160,12:00,40,6000,240
145,2175,12:15,32,6000,192
146,2190,12:30,77,6000,462
147,2205,12:45,15,6000,90
148,2220,13:00,60,6000,360
149,2235,13:15,61,6000,366
150,2250,13:30,73,6000,438
151,2265,13:45,24,6000,144
